activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,188652,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Cc1cc(O)ccc1-c1cc2ccc(O)cc2s1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '25.23', 'le': '0.49', 'lle': '2.18', 'sei': '15.98'}",CHEMBL31721,,CHEMBL31721,6.47,False,http://www.openphacts.org/units/Nanomolar,45672,=,1,True,=,,EC50,nM,,341.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,341.0
,188654,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1cc(O)ccc1-c1cc2ccc(O)cc2s1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '28.55', 'le': '0.56', 'lle': '3.03', 'sei': '18.09'}",CHEMBL31721,,CHEMBL31721,7.32,False,http://www.openphacts.org/units/Nanomolar,45672,=,1,True,=,,EC50,nM,,48.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,48.0
,194575,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '23.37', 'le': '0.43', 'lle': '2.50', 'sei': '16.94'}",CHEMBL1405,ESTRONE,CHEMBL1405,6.32,False,http://www.openphacts.org/units/Nanomolar,45687,=,1,True,=,,EC50,nM,,480.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,480.0
,194577,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '33.86', 'le': '0.63', 'lle': '5.33', 'sei': '24.54'}",CHEMBL1405,ESTRONE,CHEMBL1405,9.15,False,http://www.openphacts.org/units/Nanomolar,45687,=,1,True,=,,EC50,nM,,0.7,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,0.7
,200447,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,Potential transcription error,"Values appear to be an order of magnitude different from previously reported, so units may be incorrect",CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL135,ESTRADIOL,CHEMBL135,7.62,True,http://www.openphacts.org/units/Nanomolar,45670,=,1,True,=,,EC50,nM,,24.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,24.0
,200449,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '39.28', 'le': '0.73', 'lle': '7.09', 'sei': '26.44'}",CHEMBL135,ESTRADIOL,CHEMBL135,10.70,False,http://www.openphacts.org/units/Nanomolar,45670,=,1,True,=,,EC50,nM,,0.02,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,0.02
,200452,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '16.17', 'le': '0.31', 'lle': '1.58', 'sei': '10.94'}",CHEMBL81,RALOXIFENE,CHEMBL81,7.66,True,http://www.openphacts.org/units/Nanomolar,45671,=,1,True,=,,EC50,nM,,22.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,22.0
,201687,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Cc1ccc(-c2cc3ccc(O)cc3s2)cc1,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL31685,,CHEMBL31685,,False,http://www.openphacts.org/units/Nanomolar,45679,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,10000.0
,201689,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1ccc(-c2cc3ccc(O)cc3s2)cc1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '28.08', 'le': '0.54', 'lle': '2.17', 'sei': '33.36'}",CHEMBL31685,,CHEMBL31685,6.75,False,http://www.openphacts.org/units/Nanomolar,45679,=,1,True,=,,EC50,nM,,178.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,178.0
,205300,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,CCCc1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL32072,,CHEMBL32072,,False,http://www.openphacts.org/units/Nanomolar,45675,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,10000.0
,205302,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,CCCc1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '23.88', 'le': '0.46', 'lle': '1.86', 'sei': '16.78'}",CHEMBL32072,,CHEMBL32072,6.79,False,http://www.openphacts.org/units/Nanomolar,45675,=,1,True,=,,EC50,nM,,162.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,162.0
,206514,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '29.52', 'le': '0.54', 'lle': '3.09', 'sei': '19.58'}",CHEMBL411,DIETHYLSTILBESTROL,CHEMBL411,7.92,False,http://www.openphacts.org/units/Nanomolar,45688,=,1,True,=,,EC50,nM,,12.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,12.0
,206516,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '38.09', 'le': '0.70', 'lle': '5.39', 'sei': '25.26'}",CHEMBL411,DIETHYLSTILBESTROL,CHEMBL411,10.22,False,http://www.openphacts.org/units/Nanomolar,45688,=,1,True,=,,EC50,nM,,0.06,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,0.06
,207698,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '22.92', 'le': '0.43', 'lle': '2.63', 'sei': '15.43'}",CHEMBL286452,ALFATRADIOL,CHEMBL286452,6.24,False,http://www.openphacts.org/units/Nanomolar,45686,=,1,True,=,,EC50,nM,,570.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,570.0
,207700,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '32.39', 'le': '0.60', 'lle': '5.21', 'sei': '21.81'}",CHEMBL286452,ALFATRADIOL,CHEMBL286452,8.82,False,http://www.openphacts.org/units/Nanomolar,45686,=,1,True,=,,EC50,nM,,1.5,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,1.5
,207713,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,CC(=O)c1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL418212,,CHEMBL418212,,False,http://www.openphacts.org/units/Nanomolar,45673,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,10000.0
,207715,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,CC(=O)c1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL418212,,CHEMBL418212,,False,http://www.openphacts.org/units/Nanomolar,45673,>,1,True,>,,EC50,nM,,1000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,1000.0
,210056,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Oc1ccc2cc(-c3ccc(O)c(O)c3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '20.53', 'le': '0.40', 'lle': '1.61', 'sei': '8.74'}",CHEMBL32459,,CHEMBL32459,5.30,False,http://www.openphacts.org/units/Nanomolar,45683,=,1,True,=,,EC50,nM,,4980.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,4980.0
,210058,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc2cc(-c3ccc(O)c(O)c3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '24.93', 'le': '0.49', 'lle': '2.75', 'sei': '10.61'}",CHEMBL32459,,CHEMBL32459,6.44,False,http://www.openphacts.org/units/Nanomolar,45683,=,1,True,=,,EC50,nM,,363.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,363.0
,210070,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Cc1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '21.21', 'le': '0.41', 'lle': '1.15', 'sei': '13.44'}",CHEMBL31333,,CHEMBL31333,5.44,False,http://www.openphacts.org/units/Nanomolar,45677,=,1,True,=,,EC50,nM,,3650.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,3650.0
,210072,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1cc(-c2cc3ccc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '26.64', 'le': '0.52', 'lle': '2.54', 'sei': '16.88'}",CHEMBL31333,,CHEMBL31333,6.83,False,http://www.openphacts.org/units/Nanomolar,45677,=,1,True,=,,EC50,nM,,148.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,148.0
,212395,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Cc1cc(-c2cc3c(O)cc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL284949,,CHEMBL284949,,False,http://www.openphacts.org/units/Nanomolar,45681,>,1,True,>,,EC50,nM,,10000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,10000.0
,212397,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Cc1cc(-c2cc3c(O)cc(O)cc3s2)ccc1O,,,CHEMBL1135900,J. Med. Chem.,2002.0,,CHEMBL284949,,CHEMBL284949,,False,http://www.openphacts.org/units/Nanomolar,45681,>,1,True,>,,EC50,nM,,1000.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,1000.0
,213530,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Oc1ccc2cc(-c3ccccc3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '24.00', 'le': '0.46', 'lle': '1.16', 'sei': '26.84'}",CHEMBL32511,,CHEMBL32511,5.43,False,http://www.openphacts.org/units/Nanomolar,45680,=,1,True,=,,EC50,nM,,3710.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,3710.0
,213532,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc2cc(-c3ccccc3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '29.52', 'le': '0.57', 'lle': '2.41', 'sei': '33.02'}",CHEMBL32511,,CHEMBL32511,6.68,False,http://www.openphacts.org/units/Nanomolar,45680,=,1,True,=,,EC50,nM,,209.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,209.0
,215831,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Oc1ccc(-c2cc3ccc(O)cc3s2)cc1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '24.15', 'le': '0.47', 'lle': '1.87', 'sei': '14.46'}",CHEMBL431698,RALOXIFENE CORE,CHEMBL431698,5.85,False,http://www.openphacts.org/units/Nanomolar,45684,=,1,True,=,,EC50,nM,,1410.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,1410.0
,215833,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc(-c2cc3ccc(O)cc3s2)cc1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '30.13', 'le': '0.59', 'lle': '3.32', 'sei': '18.05'}",CHEMBL431698,RALOXIFENE CORE,CHEMBL431698,7.30,False,http://www.openphacts.org/units/Nanomolar,45684,=,1,True,=,,EC50,nM,,50.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,50.0
,215844,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Oc1ccc2cc(-c3ccc(O)c(F)c3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '23.00', 'le': '0.45', 'lle': '1.87', 'sei': '14.80'}",CHEMBL31684,,CHEMBL31684,5.99,False,http://www.openphacts.org/units/Nanomolar,45678,=,1,True,=,,EC50,nM,,1030.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,1030.0
,215846,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Oc1ccc2cc(-c3ccc(O)c(F)c3)sc2c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '26.36', 'le': '0.52', 'lle': '2.74', 'sei': '16.96'}",CHEMBL31684,,CHEMBL31684,6.86,False,http://www.openphacts.org/units/Nanomolar,45678,=,1,True,=,,EC50,nM,,138.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,138.0
,218325,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '20.01', 'le': '0.37', 'lle': '2.83', 'sei': '5.95'}",CHEMBL44,GENISTEIN,CHEMBL44,5.41,False,http://www.openphacts.org/units/Nanomolar,45685,=,1,True,=,,EC50,nM,,3920.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,3920.0
,218327,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '27.08', 'le': '0.50', 'lle': '4.74', 'sei': '8.05'}",CHEMBL44,GENISTEIN,CHEMBL44,7.32,False,http://www.openphacts.org/units/Nanomolar,45685,=,1,True,=,,EC50,nM,,48.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,48.0
,218342,[],CHEMBL676811,Inhibition of [3H]17-beta-estradiol binding to human recombinant Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000357,single protein format,Oc1cccc(-c2cc3ccc(O)cc3s2)c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '23.34', 'le': '0.45', 'lle': '1.68', 'sei': '13.98'}",CHEMBL284054,,CHEMBL284054,5.66,False,http://www.openphacts.org/units/Nanomolar,45674,=,1,True,=,,EC50,nM,,2210.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,2210.0
,218344,[],CHEMBL883442,Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor alpha.,B,,,BAO_0000188,BAO_0000219,cell-based format,Oc1cccc(-c2cc3ccc(O)cc3s2)c1,,,CHEMBL1135900,J. Med. Chem.,2002.0,"{'bei': '27.12', 'le': '0.53', 'lle': '2.59', 'sei': '16.24'}",CHEMBL284054,,CHEMBL284054,6.57,False,http://www.openphacts.org/units/Nanomolar,45674,=,1,True,=,,EC50,nM,,269.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,269.0
,266586,[],CHEMBL676808,Agonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha,F,,,BAO_0000188,BAO_0000219,cell-based format,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]21,,,CHEMBL1132758,Bioorg. Med. Chem. Lett.,2000.0,,CHEMBL1627351,,CHEMBL1627351,7.40,False,http://www.openphacts.org/units/Nanomolar,58228,=,1,True,=,,EC50,nM,,40.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,UO_0000065,,40.0
Not Active,267757,[],CHEMBL676809,Agonist effect on transcriptional activation in MCF-7 cells expressing estrogen receptor alpha; Not active means no effect at < 1000 nM,F,,,BAO_0000188,BAO_0000219,cell-based format,CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,,,CHEMBL1132758,Bioorg. Med. Chem. Lett.,2000.0,,CHEMBL33899,,CHEMBL33899,,False,,58231,,1,False,,,EC50,,,,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,EC50,nM,,,
